Model Year,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,Fuel Consumption Comb (mpg),CO2 Emissions
1999,CHEVROLET,K1500 TAHOE 4X4 TURBODIESEL,SUV,6.5,8.0,A4,Diesel,18.1,13.8,16.2,17.0,437
1999,GMC,K1500 YUKON 4X4 TURBODIESEL,SUV,6.5,8.0,A4,Diesel,18.1,13.8,16.2,17.0,437
1999,MERCEDES-BENZ,E 300 TURBODIESEL,MID-SIZE,3.0,6.0,A5,Diesel,10.2,7.3,8.9,32.0,240
1999,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.0,5.4,6.3,45.0,170
1999,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
1999,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
1999,VOLKSWAGEN,NEW GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
1999,VOLKSWAGEN,NEW GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
1999,VOLKSWAGEN,NEW JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
1999,VOLKSWAGEN,NEW JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2000,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
2000,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2000,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
2000,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2000,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
2000,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2001,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2001,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.8,5.4,6.2,46.0,167
2001,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2001,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.8,5.4,6.2,46.0,167
2001,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2001,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,6.8,5.4,6.2,46.0,167
2002,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2002,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2002,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2002,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
